run_id,op_index,op_tag,ticks_us
-1,0,CONV_2D,99527
-1,1,DEPTHWISE_CONV_2D,3829
-1,2,CONV_2D,134668
-1,3,DEPTHWISE_CONV_2D,3665
-1,4,CONV_2D,135219
-1,5,DEPTHWISE_CONV_2D,3679
-1,6,CONV_2D,134649
-1,7,DEPTHWISE_CONV_2D,3663
-1,8,CONV_2D,135180
-1,9,DEPTHWISE_CONV_2D,3680
-1,10,CONV_2D,134664
-1,11,DEPTHWISE_CONV_2D,3661
-1,12,CONV_2D,135185
-1,13,MEAN,14278
-1,14,FULLY_CONNECTED,231
-1,15,CONV_2D,99345
-1,16,DEPTHWISE_CONV_2D,3661
-1,17,CONV_2D,134675
-1,18,DEPTHWISE_CONV_2D,3668
-1,19,CONV_2D,135203
-1,20,DEPTHWISE_CONV_2D,3686
-1,21,CONV_2D,134640
-1,22,DEPTHWISE_CONV_2D,3670
-1,23,CONV_2D,135174
-1,24,DEPTHWISE_CONV_2D,3673
-1,25,CONV_2D,134672
-1,26,DEPTHWISE_CONV_2D,3656
-1,27,CONV_2D,135190
-1,28,MEAN,14182
-1,29,FULLY_CONNECTED,152
-1,30,CONV_2D,99349
-1,31,DEPTHWISE_CONV_2D,3656
-1,32,CONV_2D,134680
-1,33,DEPTHWISE_CONV_2D,3661
-1,34,CONV_2D,135208
-1,35,DEPTHWISE_CONV_2D,3681
-1,36,CONV_2D,134646
-1,37,DEPTHWISE_CONV_2D,3664
-1,38,CONV_2D,135180
-1,39,DEPTHWISE_CONV_2D,3672
-1,40,CONV_2D,134666
-1,41,DEPTHWISE_CONV_2D,3661
-1,42,CONV_2D,135168
-1,43,MEAN,14186
-1,44,FULLY_CONNECTED,152
-1,45,CONV_2D,99348
-1,46,DEPTHWISE_CONV_2D,3656
-1,47,CONV_2D,134675
-1,48,DEPTHWISE_CONV_2D,3668
-1,49,CONV_2D,135211
-1,50,DEPTHWISE_CONV_2D,3678
-1,51,CONV_2D,134640
-1,52,DEPTHWISE_CONV_2D,3670
-1,53,CONV_2D,135164
-1,54,DEPTHWISE_CONV_2D,3672
-1,55,CONV_2D,134672
-1,56,DEPTHWISE_CONV_2D,3656
-1,57,CONV_2D,135171
-1,58,MEAN,14180
-1,59,FULLY_CONNECTED,152
-1,60,CONV_2D,99349
-1,61,DEPTHWISE_CONV_2D,3662
-1,62,CONV_2D,134675
-1,63,DEPTHWISE_CONV_2D,3666
-1,64,CONV_2D,135212
-1,65,DEPTHWISE_CONV_2D,3672
-1,66,CONV_2D,134646
-1,67,DEPTHWISE_CONV_2D,3664
-1,68,CONV_2D,135178
-1,69,DEPTHWISE_CONV_2D,3665
-1,70,CONV_2D,134667
-1,71,DEPTHWISE_CONV_2D,3663
-1,72,CONV_2D,135160
-1,73,MEAN,14186
-1,74,FULLY_CONNECTED,152
0,0,CONV_2D,99349
0,1,DEPTHWISE_CONV_2D,3656
0,2,CONV_2D,173920
0,3,DEPTHWISE_CONV_2D,3672
0,4,CONV_2D,135233
0,5,DEPTHWISE_CONV_2D,3678
0,6,CONV_2D,134644
0,7,DEPTHWISE_CONV_2D,3673
0,8,CONV_2D,135183
0,9,DEPTHWISE_CONV_2D,3664
0,10,CONV_2D,134675
0,11,DEPTHWISE_CONV_2D,3662
0,12,CONV_2D,135192
0,13,MEAN,14180
0,14,FULLY_CONNECTED,153
1,0,CONV_2D,99344
1,1,DEPTHWISE_CONV_2D,3662
1,2,CONV_2D,134675
1,3,DEPTHWISE_CONV_2D,3666
1,4,CONV_2D,135239
1,5,DEPTHWISE_CONV_2D,3672
1,6,CONV_2D,134649
1,7,DEPTHWISE_CONV_2D,3669
1,8,CONV_2D,135188
1,9,DEPTHWISE_CONV_2D,3664
1,10,CONV_2D,134671
