op_index,op_tag,mean_ms,std_ms,min_ms,max_ms,median_ms,pct_time
0,CONV_2D,107.575,5.554,106.780,146.514,106.787,9.793
1,DEPTHWISE_CONV_2D,6.178,0.003,6.170,6.182,6.181,0.562
2,CONV_2D,156.717,7.760,155.123,194.940,155.135,14.266
3,DEPTHWISE_CONV_2D,6.179,0.004,6.168,6.184,6.182,0.562
4,CONV_2D,156.307,6.737,155.112,194.448,155.123,14.229
5,DEPTHWISE_CONV_2D,6.183,0.004,6.172,6.188,6.182,0.563
6,CONV_2D,156.297,6.765,155.096,194.917,155.108,14.228
7,DEPTHWISE_CONV_2D,6.181,0.004,6.170,6.186,6.180,0.563
8,CONV_2D,156.661,7.791,155.062,194.913,155.074,14.261
9,DEPTHWISE_CONV_2D,6.183,0.004,6.172,6.188,6.182,0.563
10,CONV_2D,156.286,6.736,155.089,194.416,155.101,14.227
11,DEPTHWISE_CONV_2D,6.184,0.004,6.172,6.188,6.186,0.563
12,CONV_2D,156.194,6.732,155.000,194.292,155.011,14.218
13,MEAN,15.250,0.003,15.244,15.257,15.252,1.388
14,FULLY_CONNECTED,0.168,0.001,0.167,0.174,0.168,0.015
