slug,filters,blocks,description,simd_aligned,params,fp32_acc_pct,fp32_size_kb,ptq_acc_pct,ptq_size_kb,qat_acc_pct,qat_size_kb,train_date_utc,updated_utc,int8_acc_pct,int8_size_kb,quant
f24_b5,24,5,ultra-xs depth=5,True,6276,91.5743861338469,159.8359375,91.7910447761194,19.59375,91.83919114106885,20.4296875,2026-05-17T09:46:19+00:00,2026-05-17T09:49:39.151185+00:00,,,
f32_b4,32,4,tiny depth=4,True,8076,92.82619162253249,146.5576171875,92.58545979778526,20.9375,92.24843524313914,21.5859375,2026-05-17T09:07:24+00:00,2026-05-17T09:10:40.228696+00:00,,,
f32_b5,32,5,tiny depth=5,True,9644,92.89841116995666,172.9921875,92.5132402503611,24.9453125,92.65767934520943,25.78125,2026-05-17T09:14:27+00:00,2026-05-17T09:17:47.570909+00:00,,,
f32_b6,32,6,tiny depth=6,True,11212,93.33172845450169,200.1142578125,93.42802118440058,28.953125,93.25950890707752,29.9765625,2026-05-17T09:21:39+00:00,2026-05-17T09:25:17.137690+00:00,,,
f40_b4,40,4,xxs depth=4,True,11372,92.80211844005778,159.4326171875,92.82619162253249,25.84375,93.11506981222918,26.4921875,2026-05-17T10:14:58+00:00,2026-05-17T10:20:59.039889+00:00,,,
f40_b5,40,5,xxs depth=5,True,13652,93.2354357246028,188.6484375,93.09099662975446,30.921875,93.28358208955224,31.7578125,2026-05-17T10:25:28+00:00,2026-05-17T10:29:28.195289+00:00,,,
f40_b6,40,6,xxs depth=6,True,15932,93.74097255657198,218.5517578125,93.6687530091478,36.0,93.33172845450169,37.0234375,2026-05-17T10:34:08+00:00,2026-05-17T10:38:23.838594+00:00,,,
f48_b4,48,4,xs depth=4,True,15180,94.00577756379394,174.3076171875,93.81319210399614,31.25,93.88541165142031,31.8984375,2026-05-17T09:28:54+00:00,2026-05-17T09:32:07.627582+00:00,,,
f48_b5,48,5,xs depth=5,True,18300,94.2705825710159,206.8046875,94.02985074626866,37.5234375,93.78911892152144,38.359375,2026-05-17T09:35:58+00:00,2026-05-17T09:39:31.104157+00:00,,,
f48_b6,48,6,xs depth=6,True,21420,93.7650457390467,239.9892578125,93.8613384689456,43.796875,93.83726528647087,44.8203125,2026-05-17T09:43:21+00:00,2026-05-17T09:47:15.408056+00:00,,,
