slug,filters,blocks,description,simd_aligned,params,fp32_acc_pct,fp32_size_kb,ptq_acc_pct,ptq_size_kb,qat_acc_pct,qat_size_kb,int8_acc_pct,int8_size_kb,quant,train_date_utc,updated_utc,_source
f168_b5,168,5,patch f168 b5,True,164820,96.07607125662012,779.2099609375,95.9316321617718,211.546875,,,,,,2026-05-18T20:53:05+00:00,2026-05-18T20:53:26.030546+00:00,p2
f168_b6,168,6,"aligned, slightly below baseline",True,195900,96.10014443909483,921.6240234375,95.76311988444871,250.75,95.85941261434762,252.0390625,95.85941261434762,252.0390625,qat,2026-05-16T11:24:38+00:00,2026-05-17T09:07:34.451708+00:00,"orig,p3,p4"
f168_b7,168,7,patch f168 b7,True,226980,95.23350987000482,1064.3115234375,94.99277804525758,289.953125,,,,,,2026-05-18T20:35:08+00:00,2026-05-18T20:35:33.253968+00:00,p3
f168_b8,168,8,patch f168 b8,True,258060,96.10014443909483,1206.3583984375,95.90755897929706,329.15625,,,,,,2026-05-18T20:36:35+00:00,2026-05-18T20:37:01.265330+00:00,p1
f172_b4,172,4,patch f172 b4,False,139676,95.57053442465094,660.6708984375,95.40202214732788,178.984375,,,,,,2026-05-18T20:39:44+00:00,2026-05-18T20:40:03.653875+00:00,p3
f172_b5,172,5,patch f172 b5,False,172184,95.88348579682234,807.9755859375,95.66682715454982,219.765625,,,,,,2026-05-18T20:44:40+00:00,2026-05-18T20:45:01.970533+00:00,p3
f172_b6,172,6,Hello Edge baseline (not aligned),False,204692,95.8353394318729,955.9677734375,95.59460760712564,261.59375,95.66682715454982,261.84375,95.66682715454982,261.59375,ptq,2026-05-16T12:04:21+00:00,,"orig,p3,p4"
f172_b7,172,7,patch f172 b7,False,237200,95.37794896485316,1104.2333984375,95.28165623495426,301.3359375,,,,,,2026-05-18T20:37:21+00:00,2026-05-18T20:37:46.221661+00:00,p4
f172_b8,172,8,patch f172 b8,False,269708,96.17236398651902,1251.8583984375,96.12421762156956,342.125,,,,,,2026-05-18T20:51:12+00:00,2026-05-18T20:51:38.710882+00:00,p3
f176_b2,176,2,very shallow,True,77804,95.59460760712564,377.0224609375,95.37794896485316,100.953125,95.54646124217622,101.3359375,95.54646124217622,101.3359375,qat,2026-05-16T12:20:20+00:00,2026-05-17T09:08:47.319795+00:00,"orig,p3,p4"
f176_b3,176,3,patch f176 b3,True,111772,95.40202214732788,531.0302734375,95.16129032258064,143.3515625,,,,,,2026-05-18T20:40:37+00:00,2026-05-18T20:40:54.965947+00:00,p1
