timestamp,bus_voltage,bus_current,state
8703,4.1113,6.3220,SLEEP
8753,4.1119,6.3100,SLEEP
8809,4.1119,6.2110,SLEEP
8863,4.1131,6.1880,SLEEP
8919,4.1123,6.2590,SLEEP
8973,4.1125,6.2930,SLEEP
9023,4.1129,6.2740,SLEEP
9079,4.1125,6.4210,SLEEP
9139,4.1131,6.2570,SLEEP
9199,4.1127,6.2270,SLEEP
9253,4.1139,6.2290,SLEEP
9309,4.1123,6.2790,SLEEP
9369,4.1102,8.2590,SLEEP
9430,4.0639,60.2010,HW_BOOT
9490,4.0596,65.7310,HW_BOOT
9550,4.0594,66.7910,HW_BOOT
9610,4.0676,55.4860,HW_BOOT
9670,4.0668,56.1060,HW_BOOT
9730,4.0619,62.6860,HW_BOOT
9790,4.0607,62.6260,HW_BOOT
9850,4.0621,62.0390,HW_BOOT
9910,4.0609,62.4550,HW_BOOT
9970,4.0619,62.0860,HW_BOOT
10030,4.0627,60.7290,HW_BOOT
10090,4.0623,60.8190,HW_BOOT
10150,4.0410,84.4380,HW_BOOT
10210,4.0422,84.4790,HW_BOOT
10270,4.0410,84.6280,HW_BOOT
10323,4.0408,84.6210,HW_BOOT
10380,4.0404,84.7790,HW_BOOT
10440,4.0359,89.5200,HW_BOOT
10500,4.0379,87.4600,HW_BOOT
10560,4.0539,68.6510,HW_BOOT
10620,4.0529,69.9400,HW_BOOT
10680,4.0711,50.3970,HW_BOOT
10740,4.0705,50.2640,HW_BOOT
10800,4.0707,50.2060,HW_BOOT
10853,4.0707,50.2260,HW_BOOT
10910,4.0719,50.4430,HW_BOOT
10970,4.0713,50.1740,HW_BOOT
11030,4.0723,50.3790,HW_BOOT
11090,4.0664,55.4170,HW_BOOT
11150,4.0469,77.2480,HW_BOOT
11210,4.0523,70.8090,HW_BOOT
11270,4.0479,77.3990,HW_BOOT
11331,4.0217,105.9500,RECORD
11389,4.0430,83.2010,RECORD
11450,4.0645,56.7820,RECORD
11510,4.0707,52.0500,RECORD
11570,4.0689,53.6420,RECORD
11630,4.0705,52.1560,RECORD
11690,4.0701,52.3920,RECORD
11750,4.0650,57.0110,RECORD
11810,4.0693,52.3400,RECORD
11870,4.0641,57.2970,RECORD
11930,4.0654,58.1040,RECORD
11990,4.0703,52.6100,RECORD
12050,4.0652,57.2030,RECORD
12110,4.0711,52.5310,RECORD
12170,4.0678,56.7140,RECORD
12230,4.0668,57.3830,RECORD
12283,4.0660,57.3880,RECORD
12340,4.0713,52.1020,RECORD
12400,4.0687,53.7220,RECORD
12460,4.0713,52.1530,RECORD
12520,4.0719,57.4840,RECORD
12578,4.0668,57.8670,RECORD
12677,4.0676,58.4630,RECORD
12730,4.0693,54.0600,RECORD
12790,4.0674,57.7060,RECORD
12850,4.0707,52.3920,RECORD
12910,4.0707,52.2780,RECORD
12970,4.0715,52.3560,RECORD
13030,4.0664,57.4320,RECORD
13090,4.0672,58.8400,RECORD
13150,4.0648,57.5310,RECORD
13210,4.0674,57.3850,RECORD
