op_index,op_tag,mean_ms,std_ms,min_ms,max_ms,median_ms,pct_time
0,CONV_2D,19.855,0.003,19.845,19.861,19.856,27.254
1,DEPTHWISE_CONV_2D,0.713,0.002,0.711,0.720,0.712,0.979
2,CONV_2D,7.577,0.003,7.572,7.580,7.578,10.401
3,DEPTHWISE_CONV_2D,0.714,0.003,0.711,0.726,0.712,0.980
4,CONV_2D,7.577,0.003,7.572,7.583,7.578,10.401
5,DEPTHWISE_CONV_2D,0.713,0.002,0.711,0.718,0.712,0.978
6,CONV_2D,7.969,3.923,7.572,46.804,7.578,10.939
7,DEPTHWISE_CONV_2D,0.713,0.002,0.711,0.723,0.712,0.979
8,CONV_2D,7.577,0.003,7.572,7.584,7.578,10.401
9,DEPTHWISE_CONV_2D,0.714,0.004,0.711,0.742,0.712,0.980
10,CONV_2D,7.577,0.003,7.572,7.583,7.578,10.401
11,DEPTHWISE_CONV_2D,0.713,0.002,0.711,0.718,0.712,0.978
12,CONV_2D,7.577,0.003,7.572,7.583,7.578,10.401
13,MEAN,2.845,0.004,2.840,2.852,2.846,3.905
14,FULLY_CONNECTED,0.018,0.001,0.018,0.024,0.018,0.025
