op_index,op_tag,mean_ms,std_ms,min_ms,max_ms,median_ms,pct_time
0,CONV_2D,54.956,3.922,54.551,93.785,54.563,16.116
1,DEPTHWISE_CONV_2D,2.049,0.007,2.042,2.075,2.048,0.601
2,CONV_2D,43.940,0.007,43.926,43.958,43.940,12.886
3,DEPTHWISE_CONV_2D,2.036,0.005,2.030,2.065,2.036,0.597
4,CONV_2D,44.718,5.518,43.918,83.156,43.934,13.114
5,DEPTHWISE_CONV_2D,2.048,0.006,2.041,2.074,2.046,0.601
6,CONV_2D,43.923,0.007,43.909,43.940,43.922,12.880
7,DEPTHWISE_CONV_2D,2.030,0.007,2.022,2.060,2.027,0.595
8,CONV_2D,45.124,6.725,43.931,83.174,43.949,13.233
9,DEPTHWISE_CONV_2D,2.034,0.006,2.028,2.057,2.034,0.596
10,CONV_2D,43.925,0.007,43.912,43.940,43.925,12.881
11,DEPTHWISE_CONV_2D,2.041,0.009,2.033,2.081,2.040,0.599
12,CONV_2D,43.943,0.008,43.924,43.959,43.942,12.886
13,MEAN,8.193,3.922,7.794,47.018,7.801,2.402
14,FULLY_CONNECTED,0.044,0.006,0.040,0.069,0.043,0.013
