op_index,op_tag,mean_ms,std_ms,min_ms,max_ms,median_ms,pct_time
0,CONV_2D,40.069,3.922,39.670,78.897,39.675,17.421
1,DEPTHWISE_CONV_2D,1.418,0.005,1.414,1.448,1.415,0.616
2,CONV_2D,24.733,0.006,24.727,24.754,24.733,10.753
3,DEPTHWISE_CONV_2D,1.419,0.005,1.414,1.442,1.417,0.617
4,CONV_2D,24.733,0.005,24.727,24.744,24.733,10.753
5,DEPTHWISE_CONV_2D,1.417,0.004,1.414,1.448,1.415,0.616
6,CONV_2D,25.125,3.921,24.727,63.941,24.733,10.924
7,DEPTHWISE_CONV_2D,1.419,0.005,1.414,1.447,1.417,0.617
8,CONV_2D,24.733,0.005,24.727,24.752,24.733,10.753
9,DEPTHWISE_CONV_2D,1.418,0.005,1.414,1.442,1.415,0.616
10,CONV_2D,25.125,3.922,24.727,63.958,24.733,10.924
11,DEPTHWISE_CONV_2D,1.418,0.005,1.414,1.449,1.415,0.616
12,CONV_2D,24.733,0.005,24.727,24.749,24.733,10.753
13,DEPTHWISE_CONV_2D,1.418,0.005,1.414,1.450,1.416,0.617
14,CONV_2D,25.126,3.922,24.727,63.951,24.733,10.924
15,MEAN,5.675,0.004,5.668,5.681,5.675,2.468
16,FULLY_CONNECTED,0.026,0.004,0.025,0.055,0.025,0.011
