op_index,op_tag,mean_ms,std_ms,min_ms,max_ms,median_ms,pct_time
0,CONV_2D,45.036,3.922,44.638,83.865,44.645,24.860
1,DEPTHWISE_CONV_2D,1.727,0.006,1.723,1.754,1.724,0.953
2,CONV_2D,30.523,0.003,30.521,30.533,30.523,16.849
3,DEPTHWISE_CONV_2D,1.695,0.003,1.693,1.706,1.694,0.936
4,CONV_2D,30.914,3.924,30.521,69.757,30.521,17.065
5,DEPTHWISE_CONV_2D,1.695,0.003,1.693,1.716,1.694,0.936
6,CONV_2D,30.916,3.922,30.521,69.741,30.522,17.066
7,DEPTHWISE_CONV_2D,1.695,0.004,1.693,1.718,1.693,0.936
8,CONV_2D,30.524,0.003,30.521,30.529,30.523,16.849
9,MEAN,6.391,0.003,6.387,6.400,6.389,3.528
10,FULLY_CONNECTED,0.044,0.001,0.043,0.053,0.043,0.024
