op_index,op_tag,mean_ms,std_ms,min_ms,max_ms,median_ms,pct_time
0,CONV_2D,49.985,3.922,49.583,88.811,49.594,19.826
1,DEPTHWISE_CONV_2D,1.783,0.005,1.779,1.805,1.780,0.707
2,CONV_2D,37.308,3.921,36.909,76.124,36.916,14.798
3,DEPTHWISE_CONV_2D,1.769,0.005,1.766,1.800,1.767,0.702
4,CONV_2D,37.307,3.922,36.904,76.132,36.915,14.797
5,DEPTHWISE_CONV_2D,1.770,0.006,1.766,1.813,1.768,0.702
6,CONV_2D,36.915,0.006,36.904,36.929,36.915,14.641
7,DEPTHWISE_CONV_2D,1.770,0.005,1.766,1.787,1.768,0.702
8,CONV_2D,37.307,3.921,36.904,76.128,36.915,14.797
9,DEPTHWISE_CONV_2D,1.770,0.005,1.766,1.799,1.768,0.702
10,CONV_2D,37.308,3.923,36.905,76.145,36.915,14.797
11,MEAN,7.096,0.003,7.085,7.102,7.096,2.814
12,FULLY_CONNECTED,0.036,0.004,0.034,0.058,0.035,0.014
