op_index,op_tag,mean_ms,std_ms,min_ms,max_ms,median_ms,pct_time
0,CONV_2D,20.247,3.923,19.850,59.088,19.856,35.983
1,DEPTHWISE_CONV_2D,0.713,0.002,0.711,0.719,0.712,1.267
2,CONV_2D,7.577,0.003,7.572,7.583,7.578,13.466
3,DEPTHWISE_CONV_2D,0.713,0.002,0.711,0.720,0.712,1.267
4,CONV_2D,7.577,0.003,7.572,7.583,7.578,13.465
5,DEPTHWISE_CONV_2D,0.713,0.002,0.711,0.720,0.712,1.267
6,CONV_2D,7.577,0.002,7.572,7.579,7.578,13.465
7,DEPTHWISE_CONV_2D,0.713,0.002,0.711,0.718,0.712,1.267
8,CONV_2D,7.577,0.003,7.572,7.583,7.578,13.465
9,MEAN,2.845,0.004,2.840,2.852,2.846,5.055
10,FULLY_CONNECTED,0.018,0.000,0.018,0.019,0.018,0.032
