op_index,op_tag,mean_ms,std_ms,min_ms,max_ms,median_ms,pct_time
0,CONV_2D,30.164,3.922,29.765,68.988,29.772,30.489
1,DEPTHWISE_CONV_2D,1.079,0.003,1.077,1.089,1.077,1.090
2,CONV_2D,14.953,0.003,14.949,14.966,14.955,15.114
3,DEPTHWISE_CONV_2D,1.065,0.003,1.063,1.075,1.064,1.077
4,CONV_2D,14.953,0.003,14.944,14.958,14.954,15.114
5,DEPTHWISE_CONV_2D,1.065,0.002,1.063,1.070,1.063,1.076
6,CONV_2D,15.345,3.923,14.949,54.185,14.955,15.511
7,DEPTHWISE_CONV_2D,1.065,0.003,1.063,1.072,1.063,1.076
8,CONV_2D,14.953,0.003,14.949,14.964,14.953,15.114
9,MEAN,4.264,0.004,4.258,4.273,4.264,4.310
10,FULLY_CONNECTED,0.028,0.001,0.027,0.034,0.028,0.028
