op_index,op_tag,mean_ms,std_ms,min_ms,max_ms,median_ms,pct_time
0,CONV_2D,14.912,0.003,14.909,14.915,14.914,33.438
1,DEPTHWISE_CONV_2D,0.736,0.002,0.734,0.742,0.735,1.650
2,CONV_2D,4.790,0.004,4.783,4.796,4.789,10.740
3,DEPTHWISE_CONV_2D,0.706,0.002,0.704,0.712,0.705,1.582
4,CONV_2D,4.790,0.004,4.783,4.795,4.789,10.740
5,DEPTHWISE_CONV_2D,0.706,0.002,0.704,0.711,0.705,1.582
6,CONV_2D,4.790,0.004,4.783,4.795,4.789,10.740
7,DEPTHWISE_CONV_2D,0.706,0.002,0.704,0.711,0.705,1.582
8,CONV_2D,4.790,0.004,4.783,4.795,4.789,10.740
9,DEPTHWISE_CONV_2D,0.706,0.002,0.704,0.711,0.705,1.582
10,CONV_2D,4.790,0.004,4.783,4.796,4.790,10.741
11,MEAN,2.144,0.003,2.141,2.152,2.142,4.807
12,FULLY_CONNECTED,0.033,0.000,0.032,0.035,0.033,0.073
