op_index,op_tag,mean_ms,std_ms,min_ms,max_ms,median_ms,pct_time
0,CONV_2D,64.981,3.922,64.573,103.812,64.590,16.742
1,DEPTHWISE_CONV_2D,2.400,0.006,2.390,2.425,2.400,0.618
2,CONV_2D,60.157,3.922,59.749,98.985,59.765,15.499
3,DEPTHWISE_CONV_2D,2.854,4.112,2.433,43.568,2.442,0.735
4,CONV_2D,60.194,3.921,59.786,99.016,59.802,15.509
5,DEPTHWISE_CONV_2D,2.372,0.008,2.362,2.399,2.369,0.611
6,CONV_2D,60.254,3.922,59.841,99.077,59.862,15.524
7,DEPTHWISE_CONV_2D,2.375,0.008,2.366,2.407,2.375,0.612
8,CONV_2D,60.641,5.517,59.836,99.073,59.856,15.624
9,DEPTHWISE_CONV_2D,2.389,0.007,2.378,2.412,2.388,0.615
10,CONV_2D,60.182,3.924,59.775,99.029,59.791,15.505
11,MEAN,9.224,0.002,9.216,9.231,9.223,2.376
12,FULLY_CONNECTED,0.112,0.002,0.111,0.120,0.112,0.029
