op_index,op_tag,mean_ms,std_ms,min_ms,max_ms,median_ms,pct_time
0,CONV_2D,29.765,0.001,29.759,29.766,29.765,36.083
1,DEPTHWISE_CONV_2D,1.065,0.003,1.063,1.075,1.064,1.291
2,CONV_2D,15.345,3.923,14.949,54.181,14.953,18.602
3,DEPTHWISE_CONV_2D,1.065,0.003,1.063,1.070,1.064,1.291
4,CONV_2D,14.953,0.003,14.945,14.960,14.955,18.127
5,DEPTHWISE_CONV_2D,1.065,0.003,1.063,1.071,1.064,1.291
6,CONV_2D,14.953,0.003,14.949,14.956,14.953,18.126
7,MEAN,4.260,0.004,4.254,4.266,4.260,5.164
8,FULLY_CONNECTED,0.022,0.001,0.021,0.027,0.021,0.026
