run_id,op_index,op_tag,ticks_us
-1,0,CONV_2D,49873
-1,1,DEPTHWISE_CONV_2D,2019
-1,2,CONV_2D,37143
-1,3,DEPTHWISE_CONV_2D,1834
-1,4,CONV_2D,37148
-1,5,DEPTHWISE_CONV_2D,1833
-1,6,CONV_2D,37139
-1,7,DEPTHWISE_CONV_2D,1839
-1,8,CONV_2D,37149
-1,9,DEPTHWISE_CONV_2D,1837
-1,10,CONV_2D,37124
-1,11,MEAN,7177
-1,12,FULLY_CONNECTED,155
-1,13,CONV_2D,49599
-1,14,DEPTHWISE_CONV_2D,1809
-1,15,CONV_2D,36916
-1,16,DEPTHWISE_CONV_2D,1772
-1,17,CONV_2D,36909
-1,18,DEPTHWISE_CONV_2D,1768
-1,19,CONV_2D,36918
-1,20,DEPTHWISE_CONV_2D,1771
-1,21,CONV_2D,36918
-1,22,DEPTHWISE_CONV_2D,1769
-1,23,CONV_2D,36915
-1,24,MEAN,7102
-1,25,FULLY_CONNECTED,37
-1,26,CONV_2D,49596
-1,27,DEPTHWISE_CONV_2D,1784
-1,28,CONV_2D,36909
-1,29,DEPTHWISE_CONV_2D,1773
-1,30,CONV_2D,36911
-1,31,DEPTHWISE_CONV_2D,1766
-1,32,CONV_2D,36916
-1,33,DEPTHWISE_CONV_2D,1766
-1,34,CONV_2D,36916
-1,35,DEPTHWISE_CONV_2D,1774
-1,36,CONV_2D,36910
-1,37,MEAN,7100
-1,38,FULLY_CONNECTED,36
-1,39,CONV_2D,49597
-1,40,DEPTHWISE_CONV_2D,1784
-1,41,CONV_2D,36909
-1,42,DEPTHWISE_CONV_2D,1773
-1,43,CONV_2D,36910
-1,44,DEPTHWISE_CONV_2D,1773
-1,45,CONV_2D,36915
-1,46,DEPTHWISE_CONV_2D,1766
-1,47,CONV_2D,36915
-1,48,DEPTHWISE_CONV_2D,1769
-1,49,CONV_2D,36916
-1,50,MEAN,7100
-1,51,FULLY_CONNECTED,36
-1,52,CONV_2D,49591
-1,53,DEPTHWISE_CONV_2D,1790
-1,54,CONV_2D,36909
-1,55,DEPTHWISE_CONV_2D,1772
-1,56,CONV_2D,36910
-1,57,DEPTHWISE_CONV_2D,1766
-1,58,CONV_2D,36915
-1,59,DEPTHWISE_CONV_2D,1766
-1,60,CONV_2D,36916
-1,61,DEPTHWISE_CONV_2D,1768
-1,62,CONV_2D,36916
-1,63,MEAN,7100
-1,64,FULLY_CONNECTED,36
0,0,CONV_2D,49596
0,1,DEPTHWISE_CONV_2D,1784
0,2,CONV_2D,36909
0,3,DEPTHWISE_CONV_2D,1772
0,4,CONV_2D,36910
0,5,DEPTHWISE_CONV_2D,1767
0,6,CONV_2D,36915
0,7,DEPTHWISE_CONV_2D,1766
0,8,CONV_2D,36915
0,9,DEPTHWISE_CONV_2D,1772
0,10,CONV_2D,36916
0,11,MEAN,7100
0,12,FULLY_CONNECTED,36
1,0,CONV_2D,49589
1,1,DEPTHWISE_CONV_2D,1780
1,2,CONV_2D,36909
1,3,DEPTHWISE_CONV_2D,1777
1,4,CONV_2D,36905
1,5,DEPTHWISE_CONV_2D,1771
1,6,CONV_2D,36915
1,7,DEPTHWISE_CONV_2D,1766
1,8,CONV_2D,36916
1,9,DEPTHWISE_CONV_2D,1766
1,10,CONV_2D,36915
1,11,MEAN,7096
1,12,FULLY_CONNECTED,34
2,0,CONV_2D,49589
2,1,DEPTHWISE_CONV_2D,1785
2,2,CONV_2D,36909
2,3,DEPTHWISE_CONV_2D,1772
2,4,CONV_2D,36910
2,5,DEPTHWISE_CONV_2D,1773
2,6,CONV_2D,36910
2,7,DEPTHWISE_CONV_2D,1766
2,8,CONV_2D,36915
2,9,DEPTHWISE_CONV_2D,1766
2,10,CONV_2D,36915
2,11,MEAN,7097
2,12,FULLY_CONNECTED,35
3,0,CONV_2D,49594
