run_id,op_index,op_tag,ticks_us
-1,0,CONV_2D,20079
-1,1,DEPTHWISE_CONV_2D,927
-1,2,CONV_2D,7615
-1,3,DEPTHWISE_CONV_2D,737
-1,4,CONV_2D,7606
-1,5,DEPTHWISE_CONV_2D,743
-1,6,CONV_2D,7611
-1,7,DEPTHWISE_CONV_2D,737
-1,8,CONV_2D,7606
-1,9,MEAN,2924
-1,10,FULLY_CONNECTED,112
-1,11,CONV_2D,19856
-1,12,DEPTHWISE_CONV_2D,712
-1,13,CONV_2D,7578
-1,14,DEPTHWISE_CONV_2D,712
-1,15,CONV_2D,7578
-1,16,DEPTHWISE_CONV_2D,712
-1,17,CONV_2D,7578
-1,18,DEPTHWISE_CONV_2D,712
-1,19,CONV_2D,7572
-1,20,MEAN,2854
-1,21,FULLY_CONNECTED,18
-1,22,CONV_2D,19852
-1,23,DEPTHWISE_CONV_2D,712
-1,24,CONV_2D,7573
-1,25,DEPTHWISE_CONV_2D,719
-1,26,CONV_2D,7572
-1,27,DEPTHWISE_CONV_2D,717
-1,28,CONV_2D,7578
-1,29,DEPTHWISE_CONV_2D,712
-1,30,CONV_2D,7578
-1,31,MEAN,2841
-1,32,FULLY_CONNECTED,18
-1,33,CONV_2D,19857
-1,34,DEPTHWISE_CONV_2D,712
-1,35,CONV_2D,7578
-1,36,DEPTHWISE_CONV_2D,712
-1,37,CONV_2D,7578
-1,38,DEPTHWISE_CONV_2D,712
-1,39,CONV_2D,7578
-1,40,DEPTHWISE_CONV_2D,711
-1,41,CONV_2D,7578
-1,42,MEAN,2841
-1,43,FULLY_CONNECTED,18
-1,44,CONV_2D,19856
-1,45,DEPTHWISE_CONV_2D,712
-1,46,CONV_2D,7578
-1,47,DEPTHWISE_CONV_2D,712
-1,48,CONV_2D,7573
-1,49,DEPTHWISE_CONV_2D,719
-1,50,CONV_2D,7572
-1,51,DEPTHWISE_CONV_2D,717
-1,52,CONV_2D,7578
-1,53,MEAN,2841
