run_id,op_index,op_tag,ticks_us
-1,0,CONV_2D,44910
-1,1,DEPTHWISE_CONV_2D,1966
-1,2,CONV_2D,30718
-1,3,DEPTHWISE_CONV_2D,1762
-1,4,CONV_2D,30707
-1,5,DEPTHWISE_CONV_2D,1755
-1,6,CONV_2D,30706
-1,7,MEAN,6470
-1,8,FULLY_CONNECTED,153
-1,9,CONV_2D,44631
-1,10,DEPTHWISE_CONV_2D,1700
-1,11,CONV_2D,30521
-1,12,DEPTHWISE_CONV_2D,1699
-1,13,CONV_2D,30522
-1,14,DEPTHWISE_CONV_2D,1699
-1,15,CONV_2D,30521
-1,16,MEAN,6380
-1,17,FULLY_CONNECTED,33
-1,18,CONV_2D,44637
-1,19,DEPTHWISE_CONV_2D,1701
-1,20,CONV_2D,30521
-1,21,DEPTHWISE_CONV_2D,1693
-1,22,CONV_2D,30521
-1,23,DEPTHWISE_CONV_2D,1699
-1,24,CONV_2D,30521
-1,25,MEAN,6380
-1,26,FULLY_CONNECTED,32
-1,27,CONV_2D,44636
-1,28,DEPTHWISE_CONV_2D,1700
-1,29,CONV_2D,30527
-1,30,DEPTHWISE_CONV_2D,1693
-1,31,CONV_2D,30521
-1,32,DEPTHWISE_CONV_2D,1693
-1,33,CONV_2D,30521
-1,34,MEAN,6385
-1,35,FULLY_CONNECTED,32
-1,36,CONV_2D,44632
-1,37,DEPTHWISE_CONV_2D,1707
-1,38,CONV_2D,30521
-1,39,DEPTHWISE_CONV_2D,1693
-1,40,CONV_2D,30526
-1,41,DEPTHWISE_CONV_2D,1693
-1,42,CONV_2D,30521
-1,43,MEAN,6386
-1,44,FULLY_CONNECTED,33
0,0,CONV_2D,44631
0,1,DEPTHWISE_CONV_2D,1700
0,2,CONV_2D,30522
0,3,DEPTHWISE_CONV_2D,1700
0,4,CONV_2D,30521
0,5,DEPTHWISE_CONV_2D,1693
0,6,CONV_2D,30526
0,7,MEAN,6380
0,8,FULLY_CONNECTED,33
1,0,CONV_2D,44631
1,1,DEPTHWISE_CONV_2D,1706
1,2,CONV_2D,30522
1,3,DEPTHWISE_CONV_2D,1693
1,4,CONV_2D,30522
1,5,DEPTHWISE_CONV_2D,1700
1,6,CONV_2D,30521
1,7,MEAN,6381
1,8,FULLY_CONNECTED,33
2,0,CONV_2D,44637
2,1,DEPTHWISE_CONV_2D,1700
2,2,CONV_2D,30521
2,3,DEPTHWISE_CONV_2D,1699
2,4,CONV_2D,30521
2,5,DEPTHWISE_CONV_2D,1693
2,6,CONV_2D,30521
2,7,MEAN,6386
2,8,FULLY_CONNECTED,32
3,0,CONV_2D,44637
3,1,DEPTHWISE_CONV_2D,1700
3,2,CONV_2D,30521
3,3,DEPTHWISE_CONV_2D,1693
3,4,CONV_2D,30522
3,5,DEPTHWISE_CONV_2D,1699
3,6,CONV_2D,30521
3,7,MEAN,6381
3,8,FULLY_CONNECTED,33
4,0,CONV_2D,44631
4,1,DEPTHWISE_CONV_2D,1706
4,2,CONV_2D,30527
4,3,DEPTHWISE_CONV_2D,1693
4,4,CONV_2D,30522
4,5,DEPTHWISE_CONV_2D,1693
4,6,CONV_2D,30521
4,7,MEAN,6386
4,8,FULLY_CONNECTED,33
5,0,CONV_2D,44631
5,1,DEPTHWISE_CONV_2D,1700
5,2,CONV_2D,30522
5,3,DEPTHWISE_CONV_2D,1699
5,4,CONV_2D,30527
5,5,DEPTHWISE_CONV_2D,1693
5,6,CONV_2D,30521
5,7,MEAN,6380
5,8,FULLY_CONNECTED,33
6,0,CONV_2D,44637
6,1,DEPTHWISE_CONV_2D,1701
6,2,CONV_2D,30521
6,3,DEPTHWISE_CONV_2D,1693
6,4,CONV_2D,30521
6,5,DEPTHWISE_CONV_2D,1699
6,6,CONV_2D,30527
6,7,MEAN,6380
6,8,FULLY_CONNECTED,33
7,0,CONV_2D,44636
7,1,DEPTHWISE_CONV_2D,1700
7,2,CONV_2D,30521
7,3,DEPTHWISE_CONV_2D,1694
7,4,CONV_2D,30521
7,5,DEPTHWISE_CONV_2D,1693
7,6,CONV_2D,30521
7,7,MEAN,6385
7,8,FULLY_CONNECTED,32
8,0,CONV_2D,44632
8,1,DEPTHWISE_CONV_2D,1707
8,2,CONV_2D,30526
8,3,DEPTHWISE_CONV_2D,1693
8,4,CONV_2D,30522
8,5,DEPTHWISE_CONV_2D,1693
