run_id,op_index,op_tag,ticks_us
-1,0,CONV_2D,20083
-1,1,DEPTHWISE_CONV_2D,927
-1,2,CONV_2D,7615
-1,3,DEPTHWISE_CONV_2D,737
-1,4,CONV_2D,7606
-1,5,DEPTHWISE_CONV_2D,739
-1,6,CONV_2D,7612
-1,7,DEPTHWISE_CONV_2D,737
-1,8,CONV_2D,7606
-1,9,DEPTHWISE_CONV_2D,738
-1,10,CONV_2D,7606
-1,11,DEPTHWISE_CONV_2D,737
-1,12,CONV_2D,7606
-1,13,MEAN,2934
-1,14,FULLY_CONNECTED,112
-1,15,CONV_2D,19851
-1,16,DEPTHWISE_CONV_2D,712
-1,17,CONV_2D,7573
-1,18,DEPTHWISE_CONV_2D,717
-1,19,CONV_2D,7578
-1,20,DEPTHWISE_CONV_2D,712
-1,21,CONV_2D,7578
-1,22,DEPTHWISE_CONV_2D,712
-1,23,CONV_2D,7578
-1,24,DEPTHWISE_CONV_2D,712
-1,25,CONV_2D,7579
-1,26,DEPTHWISE_CONV_2D,712
-1,27,CONV_2D,7573
-1,28,MEAN,2849
-1,29,FULLY_CONNECTED,18
-1,30,CONV_2D,19856
-1,31,DEPTHWISE_CONV_2D,712
-1,32,CONV_2D,7578
-1,33,DEPTHWISE_CONV_2D,712
-1,34,CONV_2D,7572
-1,35,DEPTHWISE_CONV_2D,712
-1,36,CONV_2D,7578
-1,37,DEPTHWISE_CONV_2D,712
-1,38,CONV_2D,7578
-1,39,DEPTHWISE_CONV_2D,718
-1,40,CONV_2D,7578
-1,41,DEPTHWISE_CONV_2D,712
-1,42,CONV_2D,7578
-1,43,MEAN,2840
-1,44,FULLY_CONNECTED,18
-1,45,CONV_2D,19856
-1,46,DEPTHWISE_CONV_2D,711
-1,47,CONV_2D,7578
-1,48,DEPTHWISE_CONV_2D,712
-1,49,CONV_2D,7578
-1,50,DEPTHWISE_CONV_2D,712
-1,51,CONV_2D,7572
-1,52,DEPTHWISE_CONV_2D,718
-1,53,CONV_2D,7572
-1,54,DEPTHWISE_CONV_2D,712
-1,55,CONV_2D,7578
-1,56,DEPTHWISE_CONV_2D,712
-1,57,CONV_2D,7578
-1,58,MEAN,2846
-1,59,FULLY_CONNECTED,18
-1,60,CONV_2D,19852
-1,61,DEPTHWISE_CONV_2D,712
-1,62,CONV_2D,7578
-1,63,DEPTHWISE_CONV_2D,717
-1,64,CONV_2D,7578
-1,65,DEPTHWISE_CONV_2D,712
-1,66,CONV_2D,7578
-1,67,DEPTHWISE_CONV_2D,712
-1,68,CONV_2D,7579
-1,69,DEPTHWISE_CONV_2D,712
-1,70,CONV_2D,7573
-1,71,DEPTHWISE_CONV_2D,712
-1,72,CONV_2D,7579
-1,73,MEAN,2847
-1,74,FULLY_CONNECTED,18
0,0,CONV_2D,19851
0,1,DEPTHWISE_CONV_2D,718
0,2,CONV_2D,7572
0,3,DEPTHWISE_CONV_2D,711
0,4,CONV_2D,7578
0,5,DEPTHWISE_CONV_2D,712
0,6,CONV_2D,7578
0,7,DEPTHWISE_CONV_2D,712
0,8,CONV_2D,7578
0,9,DEPTHWISE_CONV_2D,718
0,10,CONV_2D,7578
0,11,DEPTHWISE_CONV_2D,712
0,12,CONV_2D,7572
0,13,MEAN,2847
0,14,FULLY_CONNECTED,18
1,0,CONV_2D,19856
1,1,DEPTHWISE_CONV_2D,711
1,2,CONV_2D,7578
1,3,DEPTHWISE_CONV_2D,712
1,4,CONV_2D,7572
1,5,DEPTHWISE_CONV_2D,711
1,6,CONV_2D,7578
1,7,DEPTHWISE_CONV_2D,712
1,8,CONV_2D,7578
1,9,DEPTHWISE_CONV_2D,712
1,10,CONV_2D,7578
1,11,DEPTHWISE_CONV_2D,712
1,12,CONV_2D,7578
1,13,MEAN,2846
1,14,FULLY_CONNECTED,18
2,0,CONV_2D,19851
2,1,DEPTHWISE_CONV_2D,713
2,2,CONV_2D,7578
2,3,DEPTHWISE_CONV_2D,718
2,4,CONV_2D,7579
2,5,DEPTHWISE_CONV_2D,712
2,6,CONV_2D,7573
2,7,DEPTHWISE_CONV_2D,718
2,8,CONV_2D,7572
2,9,DEPTHWISE_CONV_2D,712
2,10,CONV_2D,7578
2,11,DEPTHWISE_CONV_2D,712
2,12,CONV_2D,7578
2,13,MEAN,2841
2,14,FULLY_CONNECTED,18
3,0,CONV_2D,19857
3,1,DEPTHWISE_CONV_2D,712
3,2,CONV_2D,7578
3,3,DEPTHWISE_CONV_2D,712
3,4,CONV_2D,7579
3,5,DEPTHWISE_CONV_2D,712
3,6,CONV_2D,7578
3,7,DEPTHWISE_CONV_2D,712
3,8,CONV_2D,7578
3,9,DEPTHWISE_CONV_2D,717
3,10,CONV_2D,7572
3,11,DEPTHWISE_CONV_2D,712
3,12,CONV_2D,7578
3,13,MEAN,2841
3,14,FULLY_CONNECTED,24
4,0,CONV_2D,19850
4,1,DEPTHWISE_CONV_2D,718
4,2,CONV_2D,7573
4,3,DEPTHWISE_CONV_2D,712
4,4,CONV_2D,7578
4,5,DEPTHWISE_CONV_2D,712
4,6,CONV_2D,7578
4,7,DEPTHWISE_CONV_2D,712
4,8,CONV_2D,7578
4,9,DEPTHWISE_CONV_2D,712
4,10,CONV_2D,7578
4,11,DEPTHWISE_CONV_2D,711
4,12,CONV_2D,7572
4,13,MEAN,2851
4,14,FULLY_CONNECTED,18
5,0,CONV_2D,19852
5,1,DEPTHWISE_CONV_2D,712
5,2,CONV_2D,7578
5,3,DEPTHWISE_CONV_2D,717
5,4,CONV_2D,7572
5,5,DEPTHWISE_CONV_2D,711
5,6,CONV_2D,7578
5,7,DEPTHWISE_CONV_2D,712
5,8,CONV_2D,7578
5,9,DEPTHWISE_CONV_2D,712
5,10,CONV_2D,7578
5,11,DEPTHWISE_CONV_2D,712
5,12,CONV_2D,7579
5,13,MEAN,2840
5,14,FULLY_CONNECTED,18
6,0,CONV_2D,19856
6,1,DEPTHWISE_CONV_2D,712
6,2,CONV_2D,7579
6,3,DEPTHWISE_CONV_2D,712
6,4,CONV_2D,7578
6,5,DEPTHWISE_CONV_2D,712
6,6,CONV_2D,7573
6,7,DEPTHWISE_CONV_2D,718
6,8,CONV_2D,7573
6,9,DEPTHWISE_CONV_2D,718
6,10,CONV_2D,7578
6,11,DEPTHWISE_CONV_2D,711
6,12,CONV_2D,7578
6,13,MEAN,2841
6,14,FULLY_CONNECTED,18
7,0,CONV_2D,19856
7,1,DEPTHWISE_CONV_2D,712
7,2,CONV_2D,7578
7,3,DEPTHWISE_CONV_2D,712
7,4,CONV_2D,7578
7,5,DEPTHWISE_CONV_2D,712
7,6,CONV_2D,7578
7,7,DEPTHWISE_CONV_2D,712
7,8,CONV_2D,7579
7,9,DEPTHWISE_CONV_2D,712
7,10,CONV_2D,7573
7,11,DEPTHWISE_CONV_2D,712
7,12,CONV_2D,7579
7,13,MEAN,2846
7,14,FULLY_CONNECTED,18
8,0,CONV_2D,19851
8,1,DEPTHWISE_CONV_2D,719
8,2,CONV_2D,7572
8,3,DEPTHWISE_CONV_2D,717
8,4,CONV_2D,7578
8,5,DEPTHWISE_CONV_2D,712
8,6,CONV_2D,7578
8,7,DEPTHWISE_CONV_2D,712
8,8,CONV_2D,7578
8,9,DEPTHWISE_CONV_2D,712
8,10,CONV_2D,7579
8,11,DEPTHWISE_CONV_2D,712
8,12,CONV_2D,7573
8,13,MEAN,2847
8,14,FULLY_CONNECTED,18
9,0,CONV_2D,19857
9,1,DEPTHWISE_CONV_2D,712
9,2,CONV_2D,7578
9,3,DEPTHWISE_CONV_2D,712
9,4,CONV_2D,7573
9,5,DEPTHWISE_CONV_2D,712
9,6,CONV_2D,7579
9,7,DEPTHWISE_CONV_2D,712
9,8,CONV_2D,7579
9,9,DEPTHWISE_CONV_2D,717
9,10,CONV_2D,7578
9,11,DEPTHWISE_CONV_2D,712
9,12,CONV_2D,7578
9,13,MEAN,2841
9,14,FULLY_CONNECTED,18
