run_id,op_index,op_tag,ticks_us
-1,0,CONV_2D,79671
-1,1,DEPTHWISE_CONV_2D,3101
-1,2,CONV_2D,88394
-1,3,DEPTHWISE_CONV_2D,2936
-1,4,CONV_2D,88404
-1,5,DEPTHWISE_CONV_2D,2942
-1,6,CONV_2D,88381
-1,7,DEPTHWISE_CONV_2D,2947
-1,8,CONV_2D,88381
-1,9,DEPTHWISE_CONV_2D,2938
-1,10,CONV_2D,88395
-1,11,DEPTHWISE_CONV_2D,2936
-1,12,CONV_2D,88415
-1,13,MEAN,11434
-1,14,FULLY_CONNECTED,201
-1,15,CONV_2D,79488
-1,16,DEPTHWISE_CONV_2D,2928
-1,17,CONV_2D,88399
-1,18,DEPTHWISE_CONV_2D,2941
-1,19,CONV_2D,88408
-1,20,DEPTHWISE_CONV_2D,2946
-1,21,CONV_2D,88379
-1,22,DEPTHWISE_CONV_2D,2947
-1,23,CONV_2D,88384
-1,24,DEPTHWISE_CONV_2D,2933
-1,25,CONV_2D,88398
-1,26,DEPTHWISE_CONV_2D,2934
-1,27,CONV_2D,88413
-1,28,MEAN,11345
-1,29,FULLY_CONNECTED,120
-1,30,CONV_2D,79490
-1,31,DEPTHWISE_CONV_2D,2929
-1,32,CONV_2D,88401
-1,33,DEPTHWISE_CONV_2D,2939
-1,34,CONV_2D,88406
-1,35,DEPTHWISE_CONV_2D,2947
-1,36,CONV_2D,88375
-1,37,DEPTHWISE_CONV_2D,2947
-1,38,CONV_2D,88386
-1,39,DEPTHWISE_CONV_2D,2933
-1,40,CONV_2D,88395
-1,41,DEPTHWISE_CONV_2D,2935
-1,42,CONV_2D,88415
-1,43,MEAN,11345
-1,44,FULLY_CONNECTED,120
-1,45,CONV_2D,79483
-1,46,DEPTHWISE_CONV_2D,2935
-1,47,CONV_2D,88394
-1,48,DEPTHWISE_CONV_2D,2941
-1,49,CONV_2D,88413
-1,50,DEPTHWISE_CONV_2D,2935
-1,51,CONV_2D,88380
-1,52,DEPTHWISE_CONV_2D,2948
-1,53,CONV_2D,88383
-1,54,DEPTHWISE_CONV_2D,2939
-1,55,CONV_2D,88394
-1,56,DEPTHWISE_CONV_2D,2938
-1,57,CONV_2D,88412
-1,58,MEAN,11348
-1,59,FULLY_CONNECTED,120
-1,60,CONV_2D,79481
-1,61,DEPTHWISE_CONV_2D,2934
-1,62,CONV_2D,88399
-1,63,DEPTHWISE_CONV_2D,2934
-1,64,CONV_2D,88412
-1,65,DEPTHWISE_CONV_2D,2936
-1,66,CONV_2D,88382
-1,67,DEPTHWISE_CONV_2D,2941
-1,68,CONV_2D,88386
-1,69,DEPTHWISE_CONV_2D,2944
-1,70,CONV_2D,88385
-1,71,DEPTHWISE_CONV_2D,2945
-1,72,CONV_2D,88415
-1,73,MEAN,11342
-1,74,FULLY_CONNECTED,121
0,0,CONV_2D,79488
0,1,DEPTHWISE_CONV_2D,2929
0,2,CONV_2D,88399
0,3,DEPTHWISE_CONV_2D,2933
0,4,CONV_2D,88413
0,5,DEPTHWISE_CONV_2D,2937
0,6,CONV_2D,88379
0,7,DEPTHWISE_CONV_2D,2946
0,8,CONV_2D,88383
0,9,DEPTHWISE_CONV_2D,2944
0,10,CONV_2D,88388
0,11,DEPTHWISE_CONV_2D,2942
0,12,CONV_2D,88417
0,13,MEAN,11340
0,14,FULLY_CONNECTED,121
1,0,CONV_2D,79489
1,1,DEPTHWISE_CONV_2D,2929
1,2,CONV_2D,88401
1,3,DEPTHWISE_CONV_2D,2936
1,4,CONV_2D,88410
1,5,DEPTHWISE_CONV_2D,2940
1,6,CONV_2D,88381
1,7,DEPTHWISE_CONV_2D,2947
1,8,CONV_2D,88381
1,9,DEPTHWISE_CONV_2D,2932
1,10,CONV_2D,88401
1,11,DEPTHWISE_CONV_2D,2940
1,12,CONV_2D,88405
1,13,MEAN,11348
1,14,FULLY_CONNECTED,121
2,0,CONV_2D,79491
2,1,DEPTHWISE_CONV_2D,2928
2,2,CONV_2D,88400
2,3,DEPTHWISE_CONV_2D,2937
2,4,CONV_2D,88407
2,5,DEPTHWISE_CONV_2D,2942
2,6,CONV_2D,88381
2,7,DEPTHWISE_CONV_2D,2941
2,8,CONV_2D,88386
2,9,DEPTHWISE_CONV_2D,2933
2,10,CONV_2D,127623
2,11,DEPTHWISE_CONV_2D,2940
2,12,CONV_2D,88411
2,13,MEAN,11345
2,14,FULLY_CONNECTED,122
3,0,CONV_2D,79482
3,1,DEPTHWISE_CONV_2D,2940
3,2,CONV_2D,88394
3,3,DEPTHWISE_CONV_2D,2942
3,4,CONV_2D,88411
3,5,DEPTHWISE_CONV_2D,2935
3,6,CONV_2D,88383
3,7,DEPTHWISE_CONV_2D,2942
3,8,CONV_2D,88385
3,9,DEPTHWISE_CONV_2D,2938
3,10,CONV_2D,88392
3,11,DEPTHWISE_CONV_2D,2941
3,12,CONV_2D,88412
3,13,MEAN,11342
3,14,FULLY_CONNECTED,121
4,0,CONV_2D,79487
4,1,DEPTHWISE_CONV_2D,2935
4,2,CONV_2D,88397
4,3,DEPTHWISE_CONV_2D,2939
4,4,CONV_2D,88404
4,5,DEPTHWISE_CONV_2D,2943
4,6,CONV_2D,88383
4,7,DEPTHWISE_CONV_2D,2947
4,8,CONV_2D,88378
4,9,DEPTHWISE_CONV_2D,2938
4,10,CONV_2D,88398
4,11,DEPTHWISE_CONV_2D,2936
4,12,CONV_2D,88414
4,13,MEAN,11340
4,14,FULLY_CONNECTED,120
5,0,CONV_2D,79489
5,1,DEPTHWISE_CONV_2D,2929
5,2,CONV_2D,88400
5,3,DEPTHWISE_CONV_2D,2942
5,4,CONV_2D,88404
5,5,DEPTHWISE_CONV_2D,2946
5,6,CONV_2D,88378
5,7,DEPTHWISE_CONV_2D,2947
5,8,CONV_2D,88385
5,9,DEPTHWISE_CONV_2D,2933
5,10,CONV_2D,88398
5,11,DEPTHWISE_CONV_2D,2933
5,12,CONV_2D,88414
5,13,MEAN,11343
5,14,FULLY_CONNECTED,121
6,0,CONV_2D,79488
6,1,DEPTHWISE_CONV_2D,2928
6,2,CONV_2D,88399
6,3,DEPTHWISE_CONV_2D,2938
6,4,CONV_2D,88407
6,5,DEPTHWISE_CONV_2D,2948
6,6,CONV_2D,88376
6,7,DEPTHWISE_CONV_2D,2948
6,8,CONV_2D,88387
6,9,DEPTHWISE_CONV_2D,2932
6,10,CONV_2D,88395
6,11,DEPTHWISE_CONV_2D,2935
6,12,CONV_2D,88415
6,13,MEAN,11345
6,14,FULLY_CONNECTED,121
7,0,CONV_2D,79482
7,1,DEPTHWISE_CONV_2D,2935
7,2,CONV_2D,88396
7,3,DEPTHWISE_CONV_2D,2941
7,4,CONV_2D,88410
7,5,DEPTHWISE_CONV_2D,2935
7,6,CONV_2D,88383
7,7,DEPTHWISE_CONV_2D,2948
7,8,CONV_2D,88379
7,9,DEPTHWISE_CONV_2D,2938
7,10,CONV_2D,88398
7,11,DEPTHWISE_CONV_2D,2939
7,12,CONV_2D,88409
7,13,MEAN,11347
7,14,FULLY_CONNECTED,120
8,0,CONV_2D,79483
8,1,DEPTHWISE_CONV_2D,2934
8,2,CONV_2D,88399
8,3,DEPTHWISE_CONV_2D,2932
8,4,CONV_2D,88412
8,5,DEPTHWISE_CONV_2D,2936
8,6,CONV_2D,88381
8,7,DEPTHWISE_CONV_2D,2948
8,8,CONV_2D,88381
8,9,DEPTHWISE_CONV_2D,2944
8,10,CONV_2D,88384
8,11,DEPTHWISE_CONV_2D,2948
8,12,CONV_2D,88413
8,13,MEAN,11340
8,14,FULLY_CONNECTED,120
9,0,CONV_2D,79486
9,1,DEPTHWISE_CONV_2D,2929
9,2,CONV_2D,88403
9,3,DEPTHWISE_CONV_2D,2936
9,4,CONV_2D,88408
9,5,DEPTHWISE_CONV_2D,2935
9,6,CONV_2D,88384
